name	type	source	detector	wavelength_nominal	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
S7_D17 850	NIRSCWAMPLITUDE	S7	D17	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S8_D6 760	NIRSCWAMPLITUDE	S8	D6	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S8_D6 850	NIRSCWAMPLITUDE	S8	D6	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S8_D7 760	NIRSCWAMPLITUDE	S8	D7	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S8_D7 850	NIRSCWAMPLITUDE	S8	D7	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S8_D8 760	NIRSCWAMPLITUDE	S8	D8	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S8_D8 850	NIRSCWAMPLITUDE	S8	D8	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S9_D7 760	NIRSCWAMPLITUDE	S9	D7	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S9_D7 850	NIRSCWAMPLITUDE	S9	D7	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S10_D7 760	NIRSCWAMPLITUDE	S10	D7	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S10_D7 850	NIRSCWAMPLITUDE	S10	D7	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S10_D8 760	NIRSCWAMPLITUDE	S10	D8	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S10_D8 850	NIRSCWAMPLITUDE	S10	D8	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S10_D18 760	NIRSCWAMPLITUDE	S10	D18	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S10_D18 850	NIRSCWAMPLITUDE	S10	D18	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D9 760	NIRSCWAMPLITUDE	S11	D9	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D9 850	NIRSCWAMPLITUDE	S11	D9	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D10 760	NIRSCWAMPLITUDE	S11	D10	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D10 850	NIRSCWAMPLITUDE	S11	D10	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D11 760	NIRSCWAMPLITUDE	S11	D11	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D11 850	NIRSCWAMPLITUDE	S11	D11	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D12 760	NIRSCWAMPLITUDE	S11	D12	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D12 850	NIRSCWAMPLITUDE	S11	D12	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D19 760	NIRSCWAMPLITUDE	S11	D19	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S11_D19 850	NIRSCWAMPLITUDE	S11	D19	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S12_D10 760	NIRSCWAMPLITUDE	S12	D10	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S12_D10 850	NIRSCWAMPLITUDE	S12	D10	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S12_D12 760	NIRSCWAMPLITUDE	S12	D12	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S12_D12 850	NIRSCWAMPLITUDE	S12	D12	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S12_D20 760	NIRSCWAMPLITUDE	S12	D20	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S12_D20 850	NIRSCWAMPLITUDE	S12	D20	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
