name	type	source	detector	wavelength_nominal	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
S1_D1 760	NIRSCWAMPLITUDE	S1	D1	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S1_D1 850	NIRSCWAMPLITUDE	S1	D1	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S1_D13 760	NIRSCWAMPLITUDE	S1	D13	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S1_D13 850	NIRSCWAMPLITUDE	S1	D13	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S2_D1 760	NIRSCWAMPLITUDE	S2	D1	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S2_D1 850	NIRSCWAMPLITUDE	S2	D1	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S3_D1 760	NIRSCWAMPLITUDE	S3	D1	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S3_D1 850	NIRSCWAMPLITUDE	S3	D1	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S3_D14 760	NIRSCWAMPLITUDE	S3	D14	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S3_D14 850	NIRSCWAMPLITUDE	S3	D14	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S4_D1 760	NIRSCWAMPLITUDE	S4	D1	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S4_D1 850	NIRSCWAMPLITUDE	S4	D1	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S4_D2 760	NIRSCWAMPLITUDE	S4	D2	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S4_D2 850	NIRSCWAMPLITUDE	S4	D2	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S5_D2 760	NIRSCWAMPLITUDE	S5	D2	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S5_D2 850	NIRSCWAMPLITUDE	S5	D2	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S5_D3 760	NIRSCWAMPLITUDE	S5	D3	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S5_D3 850	NIRSCWAMPLITUDE	S5	D3	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S5_D15 760	NIRSCWAMPLITUDE	S5	D15	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S5_D15 850	NIRSCWAMPLITUDE	S5	D15	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D2 760	NIRSCWAMPLITUDE	S6	D2	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D2 850	NIRSCWAMPLITUDE	S6	D2	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D3 760	NIRSCWAMPLITUDE	S6	D3	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D3 850	NIRSCWAMPLITUDE	S6	D3	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D4 760	NIRSCWAMPLITUDE	S6	D4	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D4 850	NIRSCWAMPLITUDE	S6	D4	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D5 760	NIRSCWAMPLITUDE	S6	D5	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D5 850	NIRSCWAMPLITUDE	S6	D5	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D16 760	NIRSCWAMPLITUDE	S6	D16	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S6_D16 850	NIRSCWAMPLITUDE	S6	D16	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S7_D6 760	NIRSCWAMPLITUDE	S7	D6	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S7_D6 850	NIRSCWAMPLITUDE	S7	D6	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S7_D7 760	NIRSCWAMPLITUDE	S7	D7	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S7_D7 850	NIRSCWAMPLITUDE	S7	D7	850.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
S7_D17 760	NIRSCWAMPLITUDE	S7	D17	760.0	V	0.0	2.6041666666666665	Near Infrared Spectroscopy (continuous wave)	5.208333333333333	good	n/a
